english,french
none of us are happy.,aucun d entre nous n est heureux.
she slapped him.,elle l a gifle.
would you chill out?,voudriez vous vous detendre ?
we must always be ready.,nous devons toujours etre pretes.
my car is a toyota.,ma voiture est une toyota.
i shouldn t have logged off.,je n aurais pas du me deconnecter.
you can t cancel the meeting.,vous ne pouvez pas annuler la reunion.
i was fortunate to get the job.,j ai eu la chance d obtenir le poste.
this is your fate.,c est ton sort.
i don t feel like going out.,je n ai pas envie de sortir.
do you have a bottle opener i could use?,auriez vous un decapsuleur a me preter ?
i can t understand this word.,je n arrive pas a comprendre ce mot.
you re a soldier now.,vous etes un soldat maintenant.
he was conscious of her presence.,il etait conscient de sa presence.
she laughed so hard she cried.,elle a tellement ri qu elle en a pleure.
that s a comforting thought.,c est une pensee reconfortante.
you have to do as i say.,tu dois le faire comme je te le dis.
don t you miss your father?,votre pere ne vous manque t il pas ?
have you been here all day?,as tu ete la toute la journee ?
i m aware of that.,j en suis conscient.
i don t find her particularly attractive.,je ne la trouve pas particulierement attirante.
these figures are inaccurate.,ces chiffres sont errones.
i know tom is tough.,je sais que tom est coriace.
do you have anything less expensive?,avez vous quelque chose de moins cher ?
why are you always so pessimistic?,pourquoi etes vous toujours si pessimiste ?
i did just like you asked.,j ai fait exactement comme tu as demande.
do you have laundry to do?,as tu du linge a laver ?
you don t have to come see me.,vous n etes pas obligee de venir me voir.
you got here fast.,tu es arrive vite.
i heard something.,j ai entendu quelque chose.
that should ve been enough.,ca aurait du etre assez.
i think we should quit.,je pense que nous devrions arreter.
i gave it back.,je l ai rendue.
you re not tired are you?,vous n etes pas fatigues si ?
he seated himself beside her.,il s assit a cote d elle.
i don t have a cat.,je ne possede pas de chat.
she has no manners.,elle n a aucune maniere.
you should have breakfast every day.,vous devriez prendre un petit dejeuner tous les jours.
don t make me beg.,ne m oblige pas a supplier.
you have to be patient.,vous devez vous montrer patient.
i m proud to be your father.,je suis fier d etre votre pere.
i will start working on july first.,je commencerai a travailler le premier juillet.
i like girls.,j aime les filles.
has tom become crazy?,tom est il devenu fou ?
no one seems afraid.,personne ne semble effraye.
the weather was bad this weekend.,il a fait mauvais temps ce week end.
don t do anything you ll regret.,ne faites rien que vous regretterez.
are you busy tomorrow morning?,etes vous occupes demain matin ?
tom has been giving mary good advice.,tom a donne un bon conseil a mary.
i had no intention of doing so.,je n avais pas l intention de faire ca.
i don t think i passed the test.,je ne pense pas avoir reussi le test.
are you serious?,etes vous serieux ?
he thought that i was very tired.,il pensait que j etais tres fatigue.
i m completely exhausted.,je suis completement epuise.
tom used to be aggressive.,tom etait agressif.
i have some very sad news.,j ai de bien tristes nouvelles.
he killed him.,il le tua.
shall i close the window?,dois je fermer la fenetre ?
i m going to ask you a few questions.,je vais vous poser quelques questions.
this is where the accident happened.,c est la que l accident arriva.
i m not a patient man.,je ne suis pas un homme patient.
sugar isn t good for you.,le sucre n est pas bon pour la sante.
that will do.,ca fera l affaire.
read what s on the label.,lis ce qui figure sur l etiquette !
i know tom understands.,je sais que tom comprend.
of course i feel guilty.,bien sur que je me sens coupable.
give me back my hat.,rends moi mon chapeau.
this is the tallest tower in japan.,c est la plus grande tour au japon.
you re not alone.,vous n etes pas seuls.
this isn t enough.,ce n est pas suffisant.
do you know how to swear in french?,est ce que tu connais des insultes en francais?
tom s alive.,tom est vivant.
they plan to have a party.,ils prevoient de faire une fete.
you were right you know.,vous aviez raison vous savez.
what does this stand for?,qu est ce que cela symbolise ?
that store had to reduce their prices.,ce magasin a du reduire ses prix.
my conscience is clear.,j ai la conscience tranquille.
he made her a new coat.,il lui a fait un nouveau manteau.
tom and mary aren t alone.,tom et marie ne sont pas seuls.
i slept with my clothes on.,j ai dormi avec mes vetements.
what do they need?,de quoi ont ils besoin ?
come on you can do it.,allez vous pouvez le faire.
i went to the hospital to see my mother.,je suis alle a l hopital voir ma mere.
people can t live without air.,l homme ne pourrait vivre sans air.
i bought him a clock.,je lui ai achete une horloge.
you should conform to the rules.,tu devrais te conformer aux regles.
they are all my personal belongings.,ce sont toutes mes affaires personnelles.
the child was made a ward of the state.,l enfant fut fait pupille de la nation.
tom must be furious.,tom doit etre furieux.
can i sleep here?,puis je dormir ici ?
i d say you re jealous.,je dirais que tu es jaloux.
i never blamed you.,je ne t ai jamais blame.
she asked him not to leave her alone.,elle le pria de ne pas la laisser seule.
birds fly long distances.,les oiseaux volent sur de longues distances.
what exactly happened?,qu est ce qui a eu lieu exactement ?
she introduced me to her brother.,elle me presenta a son frere.
this made me very sad.,cela m a rendue tres triste.
according to him she is honest.,selon lui elle est honnete.
do your best in everything.,donne en tout le meilleur de toi.
i don t know how to explain it.,je ne sais pas comment l expliquer.
the day was exhausting.,la journee fut epuisante.
i m the one who should be doing this.,c est moi qui devrais faire ceci.
turn to the left.,tournez a gauche.
dad stretched after dinner.,papa s est etendu apres le dejeuner.
why don t you go on a diet?,pourquoi ne fais tu pas un regime ?
are you going to sing here?,vas tu chanter ici ?
i got what you wanted.,j ai obtenu ce que vous vouliez.
i was scared stiff.,j avais une peur bleue.
he is still sitting on the bench.,il est toujours assis sur le banc.
can i make you a drink?,puis je vous servir un verre ?
i know that tom can t understand french.,je sais que tom ne comprend pas le francais.
they won t last that long.,ils ne vont pas durer si longtemps.
get in. i ll drive you somewhere.,monte je te conduirai quelque part.
could you make room for me?,pourrais tu me faire de la place ?
you ll wish you had studied harder.,tu souhaiteras avoir etudie avec plus d application.
when will it be ready?,quand sera ce pret ?
we re all friends.,nous sommes tous amis.
we have nothing to discuss.,nous n avons rien a discuter.
she was brave.,elle etait brave.
the rabbit hid behind the tree.,le lapin se cacha derriere l arbre.
they won the kissing contest.,ils ont gagne le concours de baisers.
i think tom is generous.,je pense que tom est genereux.
are you dressed?,etes vous habillees ?
they want to tell you their story.,ils veulent te raconter leur histoire.
we ll talk after the meeting.,on discutera apres la reunion.
he woke up in the middle of the night.,il se reveilla au milieu de la nuit.
would you like it washed?,voudriez vous qu il soit lave ?
where did you go?,ou vous etes vous rendues ?
do you like beer?,est ce que tu aimes la biere ?
nobody told me you were here.,personne ne m a dit que vous etiez ici.
do you know what time they came?,sais tu a quelle heure elles sont venues ?
i wrote down his phone number.,j ai pris note de son numero de telephone.
she quickly opened the letter.,elle ouvrit la lettre en hate.
please stop talking.,cesse de parler je te prie !
you put in too much pepper.,tu y as mis trop de poivre.
i m afraid i ve offended you.,je crains de t avoir offense.
help me move this stone.,aidez moi a deplacer cette pierre.
i want the whole world to know about us.,je veux que le monde entier sache pour nous.
i want to kill you right now.,j ai envie de te tuer la maintenant.
he had his head in the clouds in class.,il avait la tete dans les nuages en classe.
please fix it.,veuillez le reparer.
try to control yourselves.,essayez de vous controler.
he s as strong as a horse.,il est fort comme un cheval.
you d be the one to know.,vous seriez celui qui serait au courant.
i watch television.,je regarde la television.
tom changed jobs.,tom changea de travail.
you take my breath away.,tu me coupes le souffle.
do you recognize that man?,reconnaissez vous cet homme ?
does anyone know the name of the deceased?,quelqu un connait il le nom du defunt ?
i m not available.,je suis indisponible.
i ll pray for you.,je prierai pour toi.
why give them anything?,pourquoi leur donner quoi que ce soit ?
i m careful not to spend too much.,je fais attention a ne pas trop depenser.
do you have a recent photo of yourself?,avez vous une photo recente de vous ?
tom was selected.,tom etait selectionne.
this is kind of embarrassing.,c est assez embarrassant.
i started that.,c est moi qui ai commence.
he did not come till noon.,il n est pas venu avant midi.
you could at least give me a hint.,tu pourrais au moins me donner un indice.
if you don t know the answers guess.,si tu ne connais pas les reponses devine.
things are only going to get worse.,les choses ne vont qu empirer.
where s my box of chocolates?,ou est ma boite de pralines ?
he grinned broadly at us.,il nous fit un large sourire.
they said they re thirsty.,ils dirent qu ils avaient soif.
where did i put my coat?,ou ai je pose mon manteau ?
you don t have to hide your feelings.,tu n as pas besoin de cacher tes sentiments.
i want to know who sent you.,je veux savoir qui vous a envoyes.
this book is interesting.,cet ouvrage est interessant.
i don t drink a lot.,je ne bois pas beaucoup.
it s all i can do.,c est tout ce que je peux faire.
you have nothing to be afraid of.,vous n avez rien a craindre.
do you enjoy losing?,appreciez vous de perdre ?
do you have any small change?,disposez vous de petite monnaie ?
he was easily able to solve the problem.,il put facilement resoudre le probleme.
at last he realized his mistakes.,finalement il s est rendu compte de ses erreurs.
you don t seem very concerned.,tu ne sembles pas tres concerne.
gesture is another way of communication.,la gestuelle est un autre moyen de communication.
we think the world of you.,nous vous encensons.
employers sometimes exploit their workers.,les employeurs exploitent parfois leurs travailleurs.
he took his book.,il a pris son ouvrage.
i can t sleep at night.,je ne peux pas dormir la nuit.
i ll apply for the job today.,je vais postuler aujourd hui.
tom only listens to heavy metal.,tom n ecoute que du heavy metal.
she owes him a lot of money.,elle lui doit beaucoup d argent.
he likes adventure.,il aime l aventure.
for months he did almost nothing.,il ne fit presque rien durant des mois.
tom asked if you d be there.,tom a demande si tu serais la.
he felt himself lifted up.,il se sentit souleve de terre.
i was just trying to be friendly.,j essayais seulement d etre amical.
that won t be a problem.,ca ne posera pas de probleme.
a father and son represent two generations.,un pere et son fils representent deux generations.
i hear someone coming.,j entends quelqu un qui vient.
where are tom s keys?,ou sont les clefs de tom ?
tom waited for mary to answer.,tom a attendu que mary reponde.
i saw you cooking.,je vous ai vu cuisiner.
tom has written several books.,tom a ecrit plusieurs livres.
can you see that small house?,parvenez vous a voir cette petite maison ?
i was sober.,j etais sobre.
let me think about it a bit longer.,laissez moi y reflechir un peu plus longtemps.
we have five fingers on each hand.,nous avons cinq doigts a chaque main.
if the weather is good i ll go.,s il fait beau j irai.
it s heavy but i can manage it.,c est lourd mais je peux m en sortir.
i learned to milk a cow.,j appris a traire une vache.
do you have a girlfriend?,as tu une petite amie ?
i remember seeing him once.,je me souviens l avoir vu une fois.
is everyone hungry?,tout le monde a t il faim ?
i can t wait to go.,j ai hate d y aller.
have you ever been a teacher?,avez vous deja ete professeur?
he speaks french fluently.,il parle le francais couramment.
i didn t laugh.,je n ai pas ri.
she is a college student.,elle est etudiante a l universite.
he is well liked by his students.,il est tres apprecie de ses etudiants.
no one will see us.,personne ne nous verra.
look at that big hammer.,regarde ce grand marteau.
you re exhausted.,vous etes epuisees.
i hear he is looking for work.,j ai entendu qu il cherchait du travail.
you know where i m going.,tu sais ou je vais.
i ll show you around town.,je vous montrerai la ville.
tom always runs fast.,tom court toujours vite.
do you know how my friends describe me?,sais tu comment mes amis me decrivent ?
i ll leave boston tonight.,je partirai de boston ce soir.
i wish i knew the answer to this question.,j aimerais connaitre la reponse a cette question.
someone stole my bicycle.,quelqu un a vole mon velo.
you shouldn t worry about that.,tu ne devrais pas t inquieter pour ca.
his ideas are quite different from mine.,ses idees sont assez differentes des miennes.
you may pay in advance for your order.,vous pouvez payer votre commande d avance.
tom s body will be cremated.,le corps de tom sera incinere.
it looks like tom is asleep.,on dirait que tom est endormi.
i love this store.,je raffole de ce magasin.
do you need a ride?,as tu besoin que je te conduise ?
tom declined my invitation.,tom a refuse mon invitation.
nobody can stop us from doing that.,personne ne peut nous empecher de faire ca.
have you eaten yet?,est ce que tu as deja mange ?
i really wish you wouldn t do that.,je souhaiterais vraiment que tu ne fasses pas ca.
he was able to solve the problem.,il a pu resoudre le probleme.
you did it!,c est vous qui l avez fait !
she smiled at him uneasily.,elle lui a souri avec gene.
staying home isn t fun.,rester chez soi n est pas marrant.
i m glad i m not tom.,je suis content de ne pas etre tom.
it s a good sign.,c est un bon signe.
he has gone blind in both eyes.,il est devenu aveugle.
i went to europe before the war.,je suis alle en europe avant guerre.
swimming in this river is dangerous.,nager dans cette riviere est dangereux.
somebody s coming up the stairs.,quelqu un monte les escaliers.
i know who you want to talk to.,je sais a qui tu veux parler.
she got a present from her boyfriend.,elle recut un present de son copain.
he lives somewhere around here.,il vit quelque part par ici.
i m not worried about tom.,je ne m inquiete pas pour tom.
you said you didn t care.,tu as dit que tu t en fichais.
the elevator seems to be out of order.,l ascenseur semble etre en panne.
and who are you working for these days?,et pour qui travailles tu ces temps ci ?
i became acquainted with your father yesterday.,j ai fait la connaissance de ton pere hier.
look up there.,regardez la haut.
what does that tell us?,que cela nous indique t il ?
we went to the beach to swim.,nous allames a la plage pour nager.
are you finished?,en avez vous termine ?
recess ended.,la recreation est terminee.
i ve got everything i want.,j ai tout ce que je veux.
you ve gone too far this time.,tu es alle trop loin cette fois.
did you hear that?,avez vous entendu ca ?
both of them are in the room.,ils sont tous deux dans la piece.
i wanted to make sure you were all right.,je voulais m assurer que tu allais bien.
tom can run fast.,tom peut courir vite.
my big brother finished his homework very quickly.,mon grand frere a fini ses devoirs tres rapidement.
the brothers hate each other.,ces freres se detestent.
you look fat.,tu as l air grosse.
does that work for you?,cela fonctionne t il pour vous ?
i really don t know how to dance.,je ne sais vraiment pas danser.
i don t like people looking at me.,je n apprecie pas que les gens me regardent.
i am blind in the right eye.,je suis aveugle de l il droit.
they got into the train.,ils monterent dans le train.
tom could make you laugh.,tom pourrait vous faire rire.
i d like to have a word with you.,j aimerais m entretenir avec vous.
do you know how to dance?,sais tu danser ?
i couldn t stop myself.,je n ai pas pu m arreter.
coffee? is it instant? yes. then no. , cafe ? instantane ? oui. alors non. 
a river flows through the valley.,une riviere coule a travers la vallee.
he filled the bottle with water.,il remplit la bouteille d eau.
i ll invite whoever wants to come.,j invite qui veut bien venir.
he can swim on his back.,il peut nager sur le dos.
rabid dogs usually foam at the mouth.,les chiens enrages ont habituellement les babines qui ecument.
have you ever sold a car?,avez vous deja vendu une voiture ?
she tried to lower her expenses.,elle a essaye de diminuer ses depenses.
i have a black and white dog.,j ai un chien noir et blanc.
they incited him to commit the crime.,elles l ont incite a commettre un crime.
i suppose we could do that.,je suppose que nous pourrions le faire.
the world is changing more and more quickly.,le monde change de plus en plus vite.
he fell in love with his best friend.,il tomba amoureux de son meilleur ami.
he made the most of his opportunity.,il a profite de sa chance.
tom got out of prison after years.,tom est sorti de prison au bout de ans.
i just got here this morning.,je suis arrive ici tout juste ce matin.
drop your weapons!,laissez tomber vos armes !
i leave the matter to your judgement.,je laisse la chose a ton jugement.
you had me fooled.,tu m as eu.
fortunately tom is a different person now.,heureusement tom est une autre personne maintenant.
they showed it to our company.,ils le montrerent a nos convives.
tom isn t a good singer.,tom n est pas un bon chanteur.
i d like to get to know you better.,j aimerais faire davantage votre connaissance.
someone should look into this.,quelqu un devrait examiner ceci.
she took my joke seriously.,elle a pris ma plaisanterie au serieux.
an earthquake destroyed the building.,un tremblement de terre detruisit le batiment.
i ve never seen him wearing jeans.,je ne l ai jamais vu porter de jeans.
my sister washes her shoes every sunday.,ma s ur lave ses chaussures tous les dimanches.
she is quiet.,elle est tranquille.
hello everyone!,salut tout le monde !
the teacher told him to study english hard.,le professeur lui dit de travailler son anglais assidument.
we re going to do everything we can.,nous allons faire tout ce que nous pouvons.
my wife s going to kill me.,ma femme va me tuer.
it s another ball of wax.,c est une autre paire de manches.
there was something.,il y avait quelque chose.
that s not important for you to know.,il n importe pas que tu le saches.
what did you do last night?,qu as tu fait la nuit derniere ?
i think you re funny.,je pense que tu es marrant.
i have to win.,il faut que je l emporte.
come off it.,arrete ton char.
it reminded me of you.,ca m a fait me souvenir de vous.
i don t have a bedtime.,je n ai pas d heure pour me coucher.
tom handed an envelope to mary.,tom a tendu une enveloppe a mary.
we ve talked it over among ourselves.,nous en avons parle entre nous.
i think we need to postpone the meeting.,je pense qu il nous faut remettre la reunion.
i had to call off the party.,j ai du annuler la fete.
tom decided to buy a red car.,tom a decide d acheter une voiture rouge.
i don t expect anything from you.,je n attends rien de toi.
do you talk to your plants?,parles tu a tes plantes ?
he works long hours.,il travaille de longues heures.
tom looked at the painting on the wall.,tom regarda le tableau sur le mur.
he has not yet recovered consciousness.,il n a pas encore repris conscience.
you couldn t have picked a better spot.,vous n auriez pas pu choisir meilleur endroit.
were you busy yesterday?,etiez vous occupe hier ?
tom wants to come with us.,tom veut aller avec nous.
i wonder if you understand.,je me demande si vous comprenez.
i d like to run a few more tests.,j aimerais faire quelques examens supplementaires.
he wore old shoes.,il portait de vieilles chaussures.
i baked it for you.,je l ai cuit pour toi.
i m the one who should apologize.,je suis celle qui devrait s excuser.
it s always worth a try.,on peut toujours essayer.
why exactly did you do that?,pourquoi au juste avez vous fait ca ?
you need to stay awake.,vous devez rester eveillees.
say hello to your sister for me.,dis bonjour a ta s ur de ma part.
you can t go yet.,vous ne pouvez pas encore y aller.
is french difficult?,est ce que c est difficile le francais ?
let s take a picture here.,prenons une photo ici.
may i use this?,puis je utiliser ceci ?
are you sure you want to throw that away?,etes vous sures de vouloir jeter cela ?
tom looked at mary and blushed.,tom a regarde marie et a rougi.
you have no proof.,tu n as aucune preuve.
tom doesn t hate you mary.,tom ne te hait pas marie.
he is well spoken of by everybody.,tout le monde parle de lui en bien.
be quiet all of you.,restez tous tranquilles !
he will come if you call him.,il viendra si tu l appelles.
he drove the truck to dallas.,il a conduit le camion jusqu a dallas.
you said you were busy.,tu as dit que tu etais occupee.
don t underestimate your opponents.,ne sous estimez pas vos adversaires.
the employees need to keep their hair short.,les employes doivent garder les cheveux courts.
tom was stabbed in the chest.,tom a ete poignarde dans la poitrine.
we ll work tomorrow.,nous travaillerons demain.
do you think it ll stay that way?,penses tu qu il restera comme ca ?
stop being so naive.,arretez d etre si naives.
he s attracted to black women.,il est attire par les negresses.
are you a wizard?,es tu un sorcier ?
don t open the window.,n ouvrez pas la fenetre.
i could ve married tom.,j aurais pu epouser tom.
life is full of surprises.,la vie est emplie de surprises.
she decided to go.,elle a decide d y aller.
you have to stop drinking.,tu dois arreter de boire.
you re a wonderful woman.,tu es une femme formidable !
i have very good eyesight.,je suis dotee d une tres bonne vue.
i don t believe in magic.,je ne crois pas a la magie.
he felt lost and uncomfortable.,il se sentit perdu et mal a l aise.
i hesitated about which road to take.,j hesitais quant a la route a prendre.
they struggled.,ils ont eu du mal.
how does it help us?,en quoi cela nous aide t il ?
the coffeepot is boiling.,la cafetiere bout.
i wonder which of you will win.,je me demande lequel de vous gagnera.
the house that tom built is really nice.,la maison que tom a construite est vraiment jolie.
my mother is preparing supper.,ma mere est en train de preparer le souper.
tom was dying of thirst.,tom mourait de soif.
why do we have to do this right now?,pourquoi devons nous faire ceci immediatement ?
it was the worst day of my life.,c etait le pire jour de ma vie.
would you like to eat something?,veux tu manger un morceau ?
someday i ll run like the wind.,un jour je courrai comme le vent.
you re big.,tu es grand.
wait. i want to tell you something.,attendez ! je veux vous dire quelque chose.
i got hurt.,je me suis blesse.
her hair is turning gray.,ses cheveux deviennent gris.
the rest will be easy.,le reste sera facile.
there must be something in there.,il doit y avoir quelque chose la dedans.
he speaks english better than me.,il parle mieux l anglais que moi.
the meeting is held twice a month.,la reunion se tient deux fois par mois.
i have a business meeting.,j ai une reunion d affaires.
my daughter is in her late teens.,ma fille va sur ses vingt ans.
did you guess the end of the story?,as tu devine la fin de l histoire ?
we re going back to boston.,nous retournons a boston.
i m not gambling anymore.,je ne joue plus aux jeux de hasard.
i m not alone.,je ne suis pas seul.
he has a perfect command of english.,il a une parfaite maitrise de l anglais.
it was a great blow to us.,ce fut un coup dur pour nous.
i have a new girlfriend.,j ai une nouvelle petite amie.
let me finish eating my sandwich.,laisse moi finir mon sandwich.
our department is understaffed.,notre departement est en sous effectif.
we re exhausted.,nous sommes epuisees.
i asked him if he would return soon.,je lui ai demande s il revenait bientot.
do you like rap?,tu aimes le rap ?
i have known her since she was a child.,je la connais depuis qu elle etait enfant.
he is leaving narita for hawaii this evening.,il quitte narita pour hawaii ce soir.
you should apologize for your rudeness.,vous devriez vous excuser pour votre grossierete.
i don t care what you do.,je me fiche de ce que vous faites.
tom taught me how to play chess.,tom m apprit a jouer aux echecs.
do i have a fever?,est ce que j ai de la fievre ?
tom needs work.,tom a besoin de travail.
i don t have to listen to you.,je n ai pas a t ecouter.
get out of the water.,sortez de l eau !
you re not very tidy.,vous n etes pas tres ordonnees.
i thought you d gotten lost.,je pensais que tu te serais perdue.
no one knows yet.,personne ne le sait encore.
why are you always so happy?,pourquoi es tu tout le temps si heureux ?
she picked up one of the glass vases.,elle prit l un des vases en verre.
i had no time to eat.,je n eus pas le temps de manger.
he exposed himself to danger.,il s est expose au danger.
we have to crack down on illegal trading.,il faut sevir face au commerce illegal.
i have toothache.,j ai mal aux dents.
have a look.,regarde !
you re so pathetic.,vous etes si pathetique.
everyone had to start working.,tout le monde dut se mettre a travailler.
there s no one sitting here.,personne n est assis ici.
are you trying to be funny again?,vous essayez de faire de l humour ?
he was killed in a car accident.,il est mort dans un accident de voiture.
could you wrap them up separately?,peux tu les emballer separement ?
do you think she s attractive?,tu la trouves attirante ?
this cat is not ours.,ce chat n est pas a nous.
i checked the gauge.,j ai verifie la jauge.
you may speak to him.,vous pouvez lui parler.
my father is too stubborn to admit his faults.,mon pere est trop tetu pour admettre ses fautes.
do you translate lyrics?,traduis tu des paroles de chansons ?
you re such a tattletale.,quelle commere vous faites.
i d heard you d changed.,j avais entendu dire que vous aviez change.
don t make me beg for it.,ne me force pas a supplier !
who asked tom to sing?,qui a demande a tom de chanter ?
what s with everybody?,qu est ce qui vous arrive a tous ?
this boat is no longer seaworthy.,le bateau n est plus en etat de naviguer.
are you ready to hear the bad news?,es tu pret a entendre la mauvaise nouvelle ?
we became best friends.,nous sommes devenues les meilleures amies du monde.
i had to stop.,il fallait que j arrete.
who is your teacher?,qui est ton institutrice ?
how can you be so cruel?,comment peux tu etre si cruelle ?
you are selling him short.,tu le sous estimes.
that s a bad day for me.,c est un mauvais jour pour moi.
that s all i ask.,c est tout ce que je demande.
a pretty waitress waited on us.,une jolie serveuse s occupa de nous.
take care of yourself. don t get sick.,soigne toi. ne tombe pas malade.
